         :::::,0               ,5               ,9               ,12              ,13              ,16              ,23              ,36              ,37              ,39              ,45              
             ,kehua           ,kehu            ,kehut           ,kehuu           ,kehuta          ,kehunee         ,kehui           ,kehuttu         ,kehuen          ,kehuisi         ,kehuma          
             ,V Inf1 Lat      ,V Impv Act Sg2  ,V Prs Act Sg2   ,V Prs Act Sg3   ,V Prs Pass ConNe,V Pot Act Sg3   ,V Pst Act Sg3   ,V Pst Pass ConNe,V Inf2 Act Ins  ,V Cond Act Sg3  ,AgPrc Pos Nom Sg
             ,a               ,                ,t               ,                ,a               ,ee              ,i               ,ut              ,ne              ,isi             ,am              
52  ;hioa            ,a               ,                ,                ,*               ,t               ,n               ,                ,t               ,                ,                ,                
53  ;sulaa           ,aa              ,a               ,a               ,aa              ,et              ,an              ,                ,et              ,a               ,a               ,a               
54  ;pieksää         ,aa              ,a               ,a               ,aa              ,et              ,an              ,s-              ,et              ,a               ,a               ,a               
55  ;soutaa          ,aa              ,a               ,a               ,aa              ,et              ,an              ,s-              ,et              ,a               ,a               ,a               
56  ;jauhaa          ,aa              ,a               ,a               ,a               ,et              ,an              ,o               ,et              ,a               ,a               ,a               
57  ;kaataa          ,aa              ,a               ,a               ,aa              ,et              ,an              ,o               ,et              ,a               ,a               ,a               
58  ;laskea          ,ea              ,e               ,e               ,ee              ,et              ,en              ,                ,et              ,i               ,                ,e               
59  ;tuntea          ,ea              ,e               ,e               ,ee              ,et              ,en              ,s-              ,et              ,i               ,                ,e               
60  ;lähteä          ,ea              ,e               ,e               ,ee              ,et              ,en              ,t               ,et              ,i               ,                ,e               
61  ;kolhia          ,ia              ,i               ,i               ,ii              ,it              ,in              ,                ,it              ,i               ,                ,i               
62  ;naida           ,da              ,                ,                ,                ,d               ,n               ,_               ,                ,d               ,_               ,                
63  ;saada           ,da              ,                ,                ,                ,d               ,n               ,_               ,                ,d               ,_               ,                
64  ;viedä           ,da              ,                ,                ,                ,da              ,n               ,__              ,                ,da              ,__              ,                
65  ;käydä           ,da              ,                ,                ,                ,da              ,n               ,_v              ,                ,da              ,_v              ,                
66  ;päästä          ,sta             ,se              ,se              ,see             ,sta             ,ss              ,s               ,s               ,sta             ,s               ,se              
67  ;puhella         ,*a              ,e               ,e               ,ee              ,*a              ,*               ,                ,                ,*a              ,                ,e               
68  ;aterioida       ,da              ,tse             ,tse             ,tsee            ,da              ,n               ,ts              ,                ,da              ,ts              ,tse             
69  ;suudita         ,ta              ,tse             ,tse             ,tsee            ,ta              ,nn              ,ts              ,t               ,ta              ,ts              ,tse             
70  ;piestä          ,sta             ,kse             ,kse             ,ksee            ,sta             ,ss              ,ks              ,s               ,sta             ,ks              ,kse             
71  ;nähdä           ,da              ,e-              ,e-              ,kee-            ,da              ,n               ,-               ,                ,da              ,k-              ,e-              
72  ;parata          ,ta              ,ne              ,ne              ,nee             ,ta              ,nn              ,n               ,t               ,ta              ,n               ,ne              
73  ;niiata          ,ta              ,a               ,a               ,a               ,ta              ,nn              ,s               ,t               ,ta              ,                ,a               
74  ;kasketa         ,ta              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,ta              ,a               ,a               
75  ;nimetä          ,ta              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,ta              ,a               ,a               
76  ;taitaa          ,aa              ,a               ,a               ,aa              ,aa              ,an              ,s-              ,et              ,aa              ,a               ,a               
77  ;kumajaa         ,aaja            ,x               ,x               ,ajaa            ,x               ,x               ,aj              ,x               ,x               ,aja             ,x               
78  ;kaikaa          ,aa              ,x               ,x               ,aa              ,aa              ,x               ,x               ,x               ,aa              ,a               ,x               
