V052,,,u,t,n,,t,,,,n,
V053,a,a,aa,et,an,,et,a,a,a,an,
V054,a,a,aa,et,an,-s,et,a,a,a,an,
V055,a,a,aa,et,an,-s,et,a,a,a,an,
V056,a,a,aa,et,an,o,et,a,a,a,an,
V057,a,a,aa,et,an,o,et,a,a,a,an,
V058,e,e,ee,et,en,,et,i,,e,en,
V059,e,e,ee,et,en,-s,et,i,,e,en,
V060,e,e,ee,et,en,-t,et,i,,e,en,
V061,i,i,ii,it,in,,it,i,,i,in,
V062,d,,,d,n,-,,d,-,,n,
V063,d,,,d,n,-,,d,-,,n,
V064,d,,,d,n,--o,,d,--o,,n,
V065,d,,,d,n,-v,,d,-v,,n,
V066,st,se,see,st,ss,s,s,st,s,s,ss,
V067,*,e,*ee,*,*,,,*,,,*,
V068,d,tse,tsee,d,n,ts,,d,ts,,n,
V069,t,tse,tsee,t,nn,ts,t,t,ts,t,nn,
V070,st,kse,ksee,st,ss,ks,s,st,ks,s,ss,
V071,hd,e,kee,hd,hn,k,h,hd,k,h,hn,
V072,t,ne,nee,t,nn,n,t,t,n,t,nn,
V073,t,a,a,t,nn,s,t,t,,t,nn,
V074,t,a,aa,t,nn,s,t,t,a,t,nn,
V075,t,a,aa,t,nn,s,t,t,a,t,nn,
V076,a,a,aa,et,an,-s,et,a,a,a,an,
V077,aja,x,ajaa,x,x,aj,x,x,aja,x,x,
V078,a,x,aa,x,x,x,x,x,a,x,x,
